Name,Platform,HasGuide,HasPlatinum,Difficulty,TimeToComplete,HasOnlineTrophies,Genre,Release(US),Guide
100ft Robot Golf,PS4,False,False,n/a,n/a,n/a,Sports and Fitness,2016-10-06,https://www.playstationtrophies.org/game/robot-golf/guide/
11-11 Memories Retold,PS4,True,True,2,10,False,Adventure,2018-11-09,https://www.playstationtrophies.org/game/11-11-memories-retold/guide/
8-Bit Armies,PS4,False,True,n/a,n/a,n/a,Strategy,2018-09-21,https://www.playstationtrophies.org/game/8-bit-armies/guide/
A Bastard’s Tale,PS4,False,False,n/a,n/a,n/a,Action,2016-10-04,https://www.playstationtrophies.org/game/a-bastards-tale-na/guide/
A Boy and His Blob,PS4,True,False,3,12,False,Action Adventure,2016-01-19,https://www.playstationtrophies.org/game/a-boy-and-his-blob/guide/
ABZU,PS4,True,False,2,5,False,Adventure,2016-08-02,https://www.playstationtrophies.org/game/abzu/guide/
Aces of the Luftwaffe,PS4,True,False,6,10,False,Shmup,n/a,https://www.playstationtrophies.org/game/aces-of-the-luftwaffe/guide/
Act It Out! A Game Of Charades,PS4,True,False,1,1,False,Party,2016-01-12,https://www.playstationtrophies.org/game/act-it-out/guide/
Active Soccer 2 DX,PS4,False,False,n/a,n/a,n/a,Sports and Fitness,n/a,https://www.playstationtrophies.org/game/active-soccer-2-dx-na-ps4/guide/
Adam’s Venture: Origins,PS4,True,True,1,3,False,Adventure,2016-04-01,https://www.playstationtrophies.org/game/adams-venture-origins/guide/
ADR1FT,PS4,False,False,n/a,n/a,n/a,Action,2016-07-15,https://www.playstationtrophies.org/game/adrift/guide/
Adventure Time: Pirates of the Enchiridion,PS4,True,True,2,15,False,RPG Adventure,2018-07-17,https://www.playstationtrophies.org/game/adventure-time-pirates-of-the-enchiridion/guide/
Aegis of Earth: Protonovus Assault,PS4,False,True,n/a,n/a,n/a,Strategy,2016-03-15,https://www.playstationtrophies.org/game/aegis-of-earth-protonovus-assault-na/guide/
Agatha Christie - The ABC Murders,PS4,True,False,2,8,False,Adventure,2016-02-04,https://www.playstationtrophies.org/game/agatha-christie-the-abc-murders/guide/
Air Conflicts - Secret Wars,PS3,True,True,4,10,True,Action,2011-11-01,https://www.playstationtrophies.org/game/air-conflicts-secret-wars/guide/
Air Conflicts: Pacific Carriers,PS3,True,True,4,20,True,Action,n/a,https://www.playstationtrophies.org/game/air-conflicts-pacific-carriers/guide/
Air Conflicts: Vietnam,PS3,True,True,2,6,True,Action,n/a,https://www.playstationtrophies.org/game/air-conflicts-vietnam/guide/
Air Conflicts: Vietnam Ultimate Edition,PS4,False,True,n/a,n/a,n/a,Shooter Simulation,2014-06-26,https://www.playstationtrophies.org/game/air-conflicts-vietnam-ultimate-edition/guide/
AKIBA'S BEAT,PS4,False,True,n/a,n/a,n/a,RPG Action,2017-05-16,https://www.playstationtrophies.org/game/akibas-beat-na-ps4-vita/guide/
Akiba's Trip: Undead & Undressed,PS4,True,True,3,30,False,Adventure,2014-11-25,https://www.playstationtrophies.org/game/akibas-trip-2-ps4/guide/
Alchemic Jousts,PS4,False,True,n/a,n/a,n/a,Strategy,2016-11-22,https://www.playstationtrophies.org/game/alchemic-jousts/guide/
Alex Kidd in Miracle World,PS3(PSN),True,False,2,3,False,Action Platformer,2012-05-22,https://www.playstationtrophies.org/game/alex-kidd-in-miracle-world/guide/
Alienation,PS4,True,True,4,3,False,Action,2016-04-26,https://www.playstationtrophies.org/game/alienation/guide/
